Levels,Categories,Values
,Worker,Software Developer
,Worker,Developer
,Worker,Senior Developer
,Worker,Programmer
,Worker,Senior software engineer
,Worker,Software Engineer
,Worker,Software Development Engineer
,Worker,Senior Software Development Engineer
,Worker,Software Design Engineer
,Worker,Associate Software Engineer
,Worker,full stack developer
,Worker,Application Developer
,Worker,App Developer
,Worker,Application Development Analyst
,Worker,App Programmer
,Worker,Android Programmer
,Worker,Computer Programmers
,Worker,Systems analyst
,Worker,System Analyst
,Worker,Computer Systems Analyst
,Worker,System Engineer
,Worker,Systems Engineer
,Worker,Assistant System Engineer
,Worker,Web Developer
,Worker,Java Developer
,Worker,Android Developer
,Worker,Network and Computer Systems Administrators
,Worker,Network Engineer
,Worker,Security Engineer
,Worker,Information Security Engineer
,Worker,Network Security Engineer
,Worker,Quality Assurance
,Worker,QA
,Worker,QC
,Worker,Quality Assurace Analyst
,Worker,Quality Analyst
,Worker,Test Engineer
,Worker,Software Quality Assurance
,Worker,Testers
,Worker,Software Test Engineer
,Worker,Test Analyst
,Worker,Graphic Designer
,Worker,Designer
,Worker,Senior Designer
,Worker,Senior Web designer
,Worker,User Experience Designer
,Worker,Senior Graphic Designer
,Worker,Web Designer
,Worker,Site Reliability Engineer
,Worker,Technology Analyst
,Worker,Process Associate
,Worker,Business Process Associate
,Worker,IT Admin
,Worker,IT Administration
,Worker,IT Support
,Worker,Technical Specialist
,Worker,Business Analyst
,Worker,Analyst
,Worker,BA
,Worker,BI
,Worker,Business Intelligence
,Worker,Data Analyst
,Worker,Functional Analyst
,Worker,Business Intelligence Analyst
,Worker,Insight Analyst
,Worker,User Experience Researcher
,Worker,UX Researcher
,Worker,IT Business Analyst
,Worker,Usability Analyst
,Worker,Research Analyst
,Worker,Agile Analyst
,Worker,Market Researcher
,Worker,Market Analyst
,Worker,Senior Analyst
,Worker,Senior Business Analyst
,Worker,Market Research Analyst
,Worker,Budget Analysts
,Worker,Trade Analyst
,Worker,Credit Analysts
,Worker,Risk Analyst
,Worker,Financial Analyst
,Worker,Financial Risk Analyst
,Worker,Investment Analyst
,Worker,Technical Analyst
,Worker,Network Security Analyst
,Worker,Informaton Security Analyst
,Worker,Data Scientist
,Worker,Decision Scientist
,Worker,Data Engineer
,Worker,Big Data Engineer
,Worker,Big Data Scientist
,Worker,News Analyst
,Worker,Senior Associate
,Worker,Senior Executive
,Worker,Management consultant
,Worker,Analytics Consultant
,Worker,Data Consultant
,Worker,Business Development Consultant
,Worker,Executive
,Worker,Associate
,Worker,Associate Consultant
,Worker,Assistant Consultant
,Worker,Sales Consultant
,Worker,Marketing Consultant
,Worker,Digital Marketing Consultant
,Worker,Knowledge Management Consultant
,Worker,Management Development Consultant
,Worker,Business Information Consultant
,Worker,Performance Consultant
,Worker,Information Management Consultant
,Worker,Solutions Consultant
,Worker,Process Consultant
,Worker,Service Consultant
,Worker,Client Service Consultant
,Worker,Building Consultant
,Worker,Operations Consultant
,Worker,Information Consultant
,Worker,Real Estate Consultant
,Worker,Talent Acquisition Consultant
,Worker,Talent Management Consultant
,Worker,Corporate Consultant
,Worker,Technology Consultant
,Worker,Professional Service Consultant
,Worker,Quality Consultant
,Worker,System Consultant
,Worker,Website Consultant
,Worker,Computer Consultant
,Worker,Operations Management Consultant
,Worker,Executive Management Consultant
,Worker,Risk Consultant
,Worker,Financial Consultant
,Worker,Marketing
,Worker,marketing executive
,Worker,Growth Marketing
,Worker,Product marketing
,Worker,Marketing and Promotions
,Worker,Brand Marketing
,Worker,Brand Activation
,Worker,Brand Strategy
,Worker,Brand Strategist
,Worker,Content
,Worker,Content marketing
,Worker,Content strategist
,Worker,Content specialist
,Worker,Content Writer
,Worker,Demand Generation
,Worker,Lead Generation
,Worker,Marketing communications
,Worker,Solutions marketing
,Worker,Digital strategist
,Worker,Online Marketing
,Worker,Digital Marketing
,Worker,Web strategist
,Worker,Web strategy
,Worker,Web marketing
,Worker,Web marketing specialist
,Worker,Internet marketing
,Worker,Internet marketing specialist
,Worker,Paid Search
,Worker,Pay per click
,Worker,SEM
,Worker,SEM specialist
,Worker,SEM executive
,Worker,Search Engine marketing
,Worker,SEO
,Worker,SEO specialist
,Worker,SEO executive
,Worker,Search Engine Operation
,Worker,Email marketer
,Worker,Email marketing
,Worker,Email marketing specialist
,Worker,Ecommerce marketing
,Worker,E-comm marketing
,Worker,Ad words
,Worker,Portfolio marketing
,Worker,Digital Product Marketing
,Worker,Social Media
,Worker,Social Media Marketing
,Worker,Social Media strategist
,Worker,Social media editor
,Worker,Community
,Worker,Community Engagement
,Worker,Engagement
,Worker,Engagement Co-ordinator
,Worker,Corporate Communications
,Worker,Corporate Communications Specialist
,Worker,Media relations co-ordinator
,Worker,Media relations
,Worker,Public relations
,Worker,Publicity assistant
,Worker,Multimedia Communications
,Worker,Affiliate marketer
,Worker,Affiliate marketing
,Worker,Channel marketing
,Worker,Partner outreach
,Worker,Corporate partnership
,Worker,Partner marketing advisor
,Worker,Partnership
,Worker,ATL/BTL
,Worker,ATL marketing
,Worker,BTL marketing
,Worker,Sales
,Worker,Sales Associate
,Worker,Sales Executive
,Worker,Sales operations
,Worker,Sales officer
,Worker,Sales operations coordinator
,Worker,Advertising Sales Representative
,Worker,B2B corporate sales
,Worker,Direct Sales
,Worker,Distribution Sales
,Worker,Inside Sales
,Worker,Outside Sales
,Worker,Retail Sales
,Worker,Franchise Development
,Worker,Dealer
,Worker,Enterprise Resource Planning
,Worker,Tele calling executive
,Worker,Sales
,Worker,Account Representative
,Worker,Account Sales
,Worker,Account Executive
,Worker,Channel Partner Sales
,Worker,Customer Relations
,Worker,Customer Representative
,Worker,Customer Service Representative
,Worker,Consumer Service
,Worker,Costumer Service Agent
,Worker,Support Specialist
,Worker,Customer Advocate
,Worker,Business Development
,Worker,Business Development Executive
,Worker,Business Development Associate
,Worker,Civil Engineer
,Worker,Mechanical Engineer
,Worker,Electrical Engineer
,Worker,Electronic Engineer
,Worker,Engineer
,Worker,Industrial Engineer
,Worker,Staff Engineer
,Worker,Technical Support Engineer
,Worker,Senior Test Engineer
