,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
agriculture & natural resources,human resources,human resources management,tourism,agriculture,human resource management,food science,forestry,food safety,agricultural economics,human resource development,baking,chinese,natural resources management,aquaculture,food preparation,soil science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arts,fashion,film,hindi,drawing,painting,photography,art,fine arts,illustration,dance,poetry,music,studio arts,performing arts,theater arts,graphic and printing,percussion,theatre,studio art,commercial art,vocal performance,recording arts,fine art,piano,voice,latin,performing art,music education,classics,swedish,jazz,theater,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biology & life science,biotechnology,biology,pharmaceutical science,biochemistry,medicine,informatics,pharmacology,political science,information science,microbiology,general science,environmental science,botany,genetics,police science,management science,bioinformatics,zoology,toxicology,veterinary science,immunology,optometry,natural science,ecology,radiology,horticulture,health science,physiology,epidemiology,science information,orthodontics,kinesiology,human development,consumer science,molecular biology,biological science,bioengineering,global studies,environmental studies,marine science,global health,neuroscience,entomology,commercial studies,biomedical science,baltic studies,audiology,forensic science,demography,virology,sustainability studies,agronomy,anatomy,gynecology,archeology,genomics,african studies,biophysics,human physiology,medical biology,animal science,exercise science,plant science,wildlife science,marine biology,,,,,,,,,,,,,,,,
business,marketing,management,finance,hotel management,accounting,international finance,project management,international business,operations management,business,supply chain management,business management,accountancy,financial accounting,business law,financial management,event planning,travel services management,sports management,banking,retail,tourism management,corporate law,hospitality management,advertising,corporate finance,financial forensics and fraud investigation,regional planning,actuarial science,hospitality,consulting,statistics,customer service management,investment banking,organizational management,product marketing,business admin,business marketing,real estate,investment analysis,corrections,business administration and management,business studies,business finance,international development,hospitality and tourism,sustainability management,general business,distribution management,fundraising,sport management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
communications & journalism,commerce,communication,journalism,communications,telecommunications,television,communication management,multimedia,communication studies,media studies,broadcast journalism,mass media,writing,creative writing,media management,visual communications,interactive media,publishing,operations logistics,communication art,media art,communication tech,cybersecurity,broadcasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
computers & mathematics,computer science,mathematics,applied mathematics,information systems,data science,computer and information systems,web development,applied statistics,computer science and mathematics,information systems management,computer and information science,logic,mathematical science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education,education,leadership,teaching,elementary education,teacher education,child development,library science,early childhood education,curriculum and instruction,general education,health education,special education,curriculum supervision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
engineering,chemical engineering,mechanical engineering,electronics engineering,electronics,engineering,civil engineering,computer systems,architecture,software engineering,computer applications,geotechnical engineering,logistics,electrical engineering,computer engineering,graphic design,metallurgical engineering,computer application,design,computer programming,mining,apparel design,aerospace engineering,information tech,mechatronics,industrial engineering,mining engineering,environmental engineering,industrial safety,financial engineering,naval architecture and marine engineering,energy,software development,medical engineering,landscape architecture,robotics,biomedical engineering,petroleum engineering,product design,aviation,biochemical engineering,visual art,nanotechnology,automotive mechanics,avionics maintenance,vlsi design,urban planning,apparel and textiles,fashion design,architectural engineering,agricultural engineering,materials science,computer science and engineering,computer information systems,ceramics,avionics,mining and mineral engineering,sustainability,welding,engineering tech,industrial design,naval architecture,computer systems engineering,game design,computer,industrial engineering and operations research,nuclear engineering,computer graphics,welding engineering,naval architecture and ocean engineering,computer tech,sculpture,mechatronics engineering,landscaping,general engineering,modern art,electrical engineering tech,forensic computing,biological engineering,computer systems management,production tech,mechanical tech
health,occupational health and safety,pharmacy,dentistry,nutrition,nursing,cosmetology,occupational safety,physiotherapy,occupational therapy,healthcare,clinical nursing,physical therapy,health care,occupational health,health care administration,human services,community development,paralegal,nutritional science,family therapy,health services,nutrition science,dental hygiene,medical insurance,nursing administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
humanities & liberal arts,None,english language and literature,english,humanities,art history,english literature,french,spanish,german language and literature,french language,japanese,history,german language,japanese literature,hebrew,hindi language,ministry,german,liberal arts,spanish language and literature,liberal studies,culinary arts,arabic,italian language and literature,german literature,english language,hindu,japanese language,mythology,russian,hindi literature,french language and literature,mandarin chinese,french literature,italian language,russian language,spanish language,english as a second language,japanese language and literature,divinity,religious studies,european history,italian,arabic language,chinese language,danish,dutch,afrikaans,korean language,norwegian language,german language studies,american history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
industrial arts & consumer services,construction management,customer service,construction,homeland security,quality improvement,military science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interdisciplinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
law & public policy,law,public relations,business administration,criminal justice,public administration,public health,network administration,public policy,government,law enforcement,pharmaceutical administration,public admin,public law,healthcare administration,health administration,administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
physical sciences,physics,chemistry,astronomy,organic chemistry,geoscience,animation,geosciences,geology,physical education,earth science,comp sci,applied science,geophysics,oceanography,acting,physical science,meteorology,astronomy and astrophysics,applied physics,geochemistry,3d modelling,composition,petroleum geoscience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psychology & social work,management studies,counseling,psychology,general studies,organizational leadership,social work,philosophy,social studies,clinical psychology,legal studies,italian studies,labor studies,applied psychology,coaching,east asian studies,industrial and organizational psychology,ethics,astrology,counseling psychology,entrepreneurial studies,french studies,social science,visual effects,speech language pathology,german studies,european studies,japanese studies,biblical studies,american studies,korean studies,cognitive science,american literature,educational psychology,islamic studies,behavioral science,social psychology,asian studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
social science,economics,sociology,geography,political science and government,industrial relations,business economics,theology,social sciences,entrepreneurship,applied economics,international relations,literature,linguistics,politics,anthropology,criminology,international affairs,forensics,financial economics,international economics,comparative literature,international law,hindu studies,labor relations,human relations,rabbinical studies,international studies,interdisciplinary studies,conflict resolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
