,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Consumer Discretionary,apparel  fashion,retail,publishing,internet,textiles,consumer goods,automotive,photography,marketing and advertising,broadcast media,higher education,entertainment,online media,arts and crafts,graphic design,hospitality,luxury goods  jewelry,motion pictures and film,consumer electronics,consumer services,sports,restaurants,newspapers,primary secondary education,philanthropy,animation,music,furniture,cosmetics,wholesale,fine art,libraries,performing arts,sporting goods,civic  social organization,gambling  casinos,museums and institutions
Consumer Staples,food production,import and export,farming,dairy,supermarkets,tobacco,wine and spirits,food  beverages,ranching,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,oil  energy,media production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financials,financial services,banking,education management,investment banking,real estate,insurance,accounting,commercial real estate,law practice,market research,non-profit organization management,e-learning,capital markets,government administration,fund-raising,venture capital  private equity,political organization,investment management,religious institutions,government relations,international affairs,program development,public policy,alternative dispute resolution,judiciary,,,,,,,,,,,,
Health Care,biotechnology,pharmaceuticals,hospital  health care,research,veterinary,medical devices,mental health care,medical practice,nanotechnology,alternative medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrials,legal services,human resources,civil engineering,maritime,events services,machinery,facilities services,mechanical or industrial engineering,information services,construction,defense  space,international trade and development,public relations and communications,aviation  aerospace,logistics and supply chain,industrial automation,airlines aviation,shipbuilding,transportation trucking railroad,environmental services,fishery,business supplies and equipment,individual  family services,security and investigations,warehousing,military,package freight delivery,public safety,recreational facilities and services,railroad manufacture,law enforcement,legislative office,,,,,
Information Technology,information technology and services,staffing and recruiting,computer software,outsourcing offshoring,architecture  planning,electrical electronic manufacturing,management consulting,computer  network security,professional training  coaching,computer networking,semiconductors,computer hardware,computer games,design,writing and editing,printing,translation and localization,executive office,,,,,,,,,,,,,,,,,,,
Materials,chemicals,mining  metals,building materials,plastics,paper  forest products,packaging and containers,think tanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telecommunication Services,telecommunications,wireless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utilities,renewables  environment,utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
